Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
,"Tanah Strategis di Gajah Mada, Luas 270m², Dekat Gajah Mada, Jakarta Pusat, Jakarta Pusat","Rp5,8 Miliar Total","Harga per m² Rp.21,4 Juta",LT270 m²,Lainnya,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Jual Tanah Lokasi Strategis di Menteng Atas, Luas 361m², Akses Transportasi","Rp7,5 Miliar Total","Harga per m² Rp.20,7 Juta",LT361 m²,SHM,,,,"Menteng Atas, Jakarta Pusat",Jakarta Pusat,Menteng Atas,
,"PROSPEKTIF! Tanah di Tanah Abang, Luas 490m2m², Lokasi Strategis",Rp21 Miliar Total,lebih hemat,LT490 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"LOKASI STRATEGIS! Tanah di Pejompongan, Luas 438m², Area Nyaman, Cocok untuk Investasi",Rp16 Miliar Total,"Harga per m² Rp.36,5 Juta",LT438 m²,SHM,,,,"Pejompongan, Jakarta Pusat",Jakarta Pusat,Pejompongan,
,"AREA PROSPEKTIF! Tanah di Johar Baru, Luas 300m², Akses Transportasi","Rp5,4 Miliar Total",Harga per m² Rp.18 Juta,LT300 m²,SHM,,,,"Johar Baru, Jakarta Pusat",Jakarta Pusat,johar baru,
,"Tanah Area Potensial Kawasan Menteng, Luas 1470m², Kawasan Nyaman, Dekat Menteng, Jakarta Pusat, Jakarta Pusat",Rp110 Miliar Total,Harga per m² Rp.75 Juta,LT1470 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Jual Tanah Area Premium Kawasan Cideng, Luas 278m², Ideal untuk Investasi",Rp15 Miliar Total,"Harga per m² Rp.53,9 Juta",LT278 m²,Lainnya,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"PROSPEKTIF! Tanah di Menteng, Luas 1470m², Area Berkembang",Rp110 Miliar Total,Harga per m² Rp.75 Juta,LT1470 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"LOKASI STRATEGIS! Tanah Kawasan Kemayoran, Luas 330m², Area Asri, Cocok untuk Hunian","Rp7,26 Miliar Total",Harga per m² Rp.22 Juta,LT330 m²,Lainnya,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Tanah Komersial Kawasan Senen, Luas 1075m², Akses Mudah",Rp25 Miliar Total,"Harga per m² Rp.23,2 Juta",LT1075 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
